NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
17,31.316564130523187,42.32159159349077,3.849842273425963,38.4717493200648,-3.9610737581987636,-3.292935856270897,15.815253513918702,-0.13661564191422107,0.052737783429787605,-0.010058395180555013,36.55,27.375000000000004,0.7525000000000001,-0.04524999999999996,64.425,25.925,38.475,-3.886173716073813,-3.200409949286284,15.824822597118317,-0.13661564191422107,0.052737783429787605,-0.010058395180555013
18,32.698229585803816,24.497568534363083,4.136477547202268,20.361090987160814,-6.810312001397197,-2.427715712666206,18.547407434319524,-0.08412063950320385,-0.22272369755647722,-0.4395460641976506,36.675,30.6,0.8375,-0.2425,111.25,90.85,20.375,-6.984549869408678,-2.622598160831986,18.67591955794372,-0.08412063950320385,-0.22272369755647722,-0.4395460641976506
19,40.71361926067662,13.50337451935993,3.8639713246910325,9.639403194668898,-2.829123810313152,-4.842488582774716,15.573810466076361,-0.017882017897802888,0.06653113780983429,0.49390463188016803,45.55,36.900000000000006,0.8125,-0.5389999999999999,42.650000000000006,33.0,9.649999999999999,-2.7258966838463916,-4.756209708347054,15.579322208222315,-0.017882017897802888,0.06653113780983429,0.49390463188016803
20,28.38606232713225,54.48368013279706,6.454065146269103,48.02961498652795,2.4829177059389345,1.138398931271091,18.21212513821219,-0.049176891708987924,-0.04642299769572612,-0.9955289407477584,38.875,21.525000000000002,0.5549999999999999,-0.34299999999999997,84.80000000000001,36.75,48.05,2.665261394170328,1.2346977723521013,18.181891645261302,-0.049176891708987924,-0.04642299769572612,-0.9955289407477584
21,34.479965460123125,53.75059607941557,5.115602552813764,48.63499352660182,2.3754052275155204,-3.846520521126193,17.03756137515636,-0.1516123205313247,0.07586998221879215,0.007668956366470581,39.175,32.4,0.8275,-0.96475,183.025,134.4,48.625,2.1043961799247777,-3.6440792201527707,17.078250351889764,-0.1516123205313247,0.07586998221879215,0.007668956366470581
22,40.25532227540735,58.99958746678691,2.9938801278299856,56.005707338956924,9.679732886468031,-3.070260707125832,17.285259258870752,-0.0699961362010423,-0.0910779237647314,-0.010797711464893639,43.8,37.5,0.855,0.53075,92.12500000000001,36.15,56.0,9.546648181395415,-3.1299120689581166,17.26540089630725,-0.0699961362010423,-0.0910779237647314,-0.010797711464893639
23,37.143259422862116,130.20742524915994,2.6303161551348335,127.57710909402512,3.4406935859191345,7.367415274755672,17.304229537200012,0.00793870112820827,0.002349637965848944,-0.000728444708704229,39.425,35.575,0.9025,-0.44675,167.42499999999998,39.849999999999994,127.575,3.508983884822845,7.17928858005634,17.29629739535073,0.00793870112820827,0.002349637965848944,-0.000728444708704229
24,35.9056476829992,25.666792096025215,4.492548536956209,21.174243559069012,-5.746793190269029,3.6213113774412875,14.306992144425742,0.08686131002100878,-0.14037360875411511,-0.4712089823441042,42.7,30.725,0.7224999999999999,0.64375,53.12500000000001,32.0,21.174999999999997,-5.303236910862401,3.409588653015325,14.302125391512986,0.08686131002100878,-0.14037360875411511,-0.4712089823441042
25,41.17582965207454,84.56336895978436,3.0769833323450735,81.48638562743929,-4.5812124719762775,0.8811918989496494,15.134612820210824,0.06354224725220253,0.17410856866267943,-0.9739878179860925,44.15,39.225,0.8925000000000001,-0.69125,140.97500000000002,59.5,81.475,-4.284303946622859,0.8752295671851622,15.154288246017439,0.06354224725220253,0.17410856866267943,-0.9739878179860925
26,34.373593081091194,39.71738365247739,4.682164482118955,35.03521917035843,0.789429099233715,-5.311345099931103,16.395688711214294,-0.016573314790234158,-0.0023868996927484606,-0.5003462587642029,40.925,29.900000000000002,0.735,-0.274,96.425,61.425000000000004,35.05,1.3166423136346257,-5.231574313894027,16.38338326852744,-0.016573314790234158,-0.0023868996927484606,-0.5003462587642029
