NPC,r_CR,r_NR,SSE_CR,SSE_NR,SSE_l_CR,SSE_l_NR,SSE_a_CR,SSE_a_NR,Cx_CR,Cy_CR,Cz_CR,Cx_NR,Cy_NR,Cz_NR,Tx_CR,Ty_CR,Tz_CR,Tx_NR,Ty_NR,Tz_NR,el_minor_CR,el_minor_NR,el_major_CR,el_major_NR,el_q_CR,el_q_NR,el_rot_CR,el_rot_NR,el_ssum_CR,el_ssum_NR,el_ssumXY_CR,el_ssumXY_NR,el_ssumZ_CR,el_ssumZ_NR,el_Cx_CR,el_Cy_CR,el_Cz_CR,el_Cx_NR,el_Cy_NR,el_Cz_NR,el_ Tx_CR,el_ Ty_CR,el_ Tz_CR,el_ Tx_NR,el_ Ty_NR,el_ Tz_NR
10,48.8382314036509,51.131055509653876,87.27206003667631,94.4473052518549,5.738051626498571,7.044403550640548,81.53400841017773,87.40290170121435,-3.0079858101807972,1.2961150513706776,57.42789287742824,-8.832846488761536,0.2855214231980685,-2.8809356303817317,-0.0872234875293852,0.0868449683571722,0.992396097681895,0.1229471019566825,0.03607576161388326,-0.9917573037514931,43.6,44.1,56.2,61.0,0.78,0.72,0.75,0.943,277.2,307.2,195.7,219.7,81.5,87.4,-3.5122356248493354,1.3069313188301341,57.382626913634525,-8.44981469932341,0.08011457509223319,-2.8409233815861152,-0.0872234875293852,0.0868449683571722,0.992396097681895,0.1229471019566825,0.03607576161388326,-0.9917573037514931
11,62.98762988523896,62.34425110501792,152.7029010001312,207.26899965695682,6.136240502280832,5.5912074699873,146.56666049785036,201.67779218696953,-0.5775843918701165,11.424548560713827,58.794851257674615,-0.7269809515679382,7.7912233852675135,1.4287387791742152,0.04664514364405066,-0.010404660147609712,0.9988573339679891,0.02303901159300724,-0.24653524227048718,-0.9688599373817915,55.5,56.2,71.9,69.9,0.77,0.8,-0.509,0.737,225.3,313.6,78.7,111.9,146.6,201.7,-0.5567563766091199,11.260175039924837,58.792166413409525,-0.6991591082643198,7.957765034788878,1.387022328134153,0.04664514364405066,-0.010404660147609712,0.9988573339679891,0.02303901159300724,-0.24653524227048718,-0.9688599373817915
12,61.32051423540638,59.83038104227997,64.42392158346101,161.06277631871896,2.7817419392728424,5.192903462522677,61.64217964418816,155.86987285619628,-7.025017384891779,2.338711336145082,55.64235099752913,-3.9647229357705727,4.315639213707577,2.428739441693112,0.024551242924358778,0.10502537578477172,0.9941664382346331,-0.08958528059803048,0.048120816722234006,0.9948159952966966,59.6,53.3,63.6,67.3,0.94,0.79,0.84,0.416,151.5,195.5,89.9,39.7,61.6,155.9,-6.817135930045812,2.345770817483223,55.63647152649392,-3.886634086700251,4.3575692936290675,2.4337432833965282,0.024551242924358778,0.10502537578477172,0.9941664382346331,-0.08958528059803048,0.048120816722234006,0.9948159952966966
13,61.560760901409644,60.425158053580276,142.69965150909064,166.79925480233985,3.929910328944965,5.156322850873657,138.76974118014567,161.64293195146618,2.1978512484339943,1.5471743311022044,58.18914043487088,4.414544351030425,-4.248599646558741,-0.1513047043040932,0.054372306354901555,-0.2069683033058285,0.9768355919643567,0.00549671266425601,-0.20913916647909958,0.9778704388590106,58.8,55.9,65.3,66.4,0.9,0.84,1.325,-0.199,305.4,347.6,166.6,186.0,138.8,161.6,2.1474021432395434,1.6940019313681949,58.223057804161094,4.458566865957039,-4.315955682434158,-0.16595773373031186,0.054372306354901555,-0.2069683033058285,0.9768355919643567,0.00549671266425601,-0.20913916647909958,0.9778704388590106
14,55.677331208857595,58.20802680263267,100.00165765241819,227.86773160340505,3.2231939394139792,3.9391208973955147,96.77846371300421,223.92861070600952,-1.2416990563097208,-7.888617320422897,57.68649966503107,-2.185125088949186,0.40300064082963144,-0.5966340998594378,0.2898774001298112,0.0014337475810054512,-0.9570627133379793,0.2252769904063904,0.05330126235568011,-0.9728356762705253,52.7,55.1,59.3,62.3,0.89,0.89,-0.125,0.623,175.9,381.1,79.1,157.2,96.8,223.9,-1.2201007386526628,-8.085314889629995,57.69274674729877,-2.2552770954836063,0.590770068707816,-0.6025912059840297,0.2898774001298112,0.0014337475810054512,-0.9570627133379793,0.2252769904063904,0.05330126235568011,-0.9728356762705253
15,60.03596878954315,59.08294562101796,108.31276721675977,212.2834255335033,6.389502031366328,3.9914100126217806,101.92326518539343,208.29201552088153,-1.8970071806537177,1.9484719053813921,56.49039341905732,6.507897280782286,-2.151424225732855,0.05054162806365453,-0.1453586656690803,-0.11402585196432191,0.9827863264203034,0.05027683106441288,-0.10764104623377335,0.9929177435335814,53.3,54.9,68.6,64.2,0.78,0.85,0.1,1.276,274.2,295.4,172.3,87.1,101.9,208.3,-2.0247302337861246,1.9716018867355016,56.47418619646937,6.456135653194678,-2.2659919822172516,0.04074244517044814,-0.1453586656690803,-0.11402585196432191,0.9827863264203034,0.05027683106441288,-0.10764104623377335,0.9929177435335814
16,58.66197751669571,60.753261303891634,315.4835061337742,112.06453640286044,3.5140527780693285,3.74413189878862,311.96945335570484,108.32040450407182,3.6352884807964485,2.4361777106379616,57.80492765426002,-6.325405718961918,-13.319695494241316,8.300147269923011,0.015494857055127964,-0.14586206974353616,-0.9891835855972202,-0.06425894589833415,-0.1124343067791791,-0.9915792023490209,55.4,56.5,62.7,65.6,0.88,0.86,1.408,-1.475,405.8,166.2,93.8,57.9,312.0,108.3,3.5322592230099388,2.5497243397375233,57.78657052599874,-6.235637989695025,-13.133636180428848,8.273232798982647,0.015494857055127964,-0.14586206974353616,-0.9891835855972202,-0.06425894589833415,-0.1124343067791791,-0.9915792023490209
17,50.81375078592899,50.282699570021606,132.35898248501937,144.04417957226957,3.73751402182793,5.1373232116129515,128.62146846319143,138.9068563606566,0.1816453923219099,-6.412213191640194,56.83420713806967,-8.165528427056177,0.6955626879884922,0.24149781400219952,-0.06264220643122011,0.11112354484282205,-0.9918303845693546,0.2108910939764444,-0.022053543226737693,-0.9772607572764627,47.7,44.2,54.8,57.7,0.87,0.77,1.544,1.441,232.2,200.3,103.6,61.4,128.6,138.9,0.20870728268857447,-6.094469994512998,56.868097543540856,-7.922030954461011,0.7941393385912875,0.2918195767300215,-0.06264220643122011,0.11112354484282205,-0.9918303845693546,0.2108910939764444,-0.022053543226737693,-0.9772607572764627
18,50.601343046677044,53.579730145130256,86.29905160770687,128.64962323026853,4.99578886249144,3.235716164736655,81.30326274521543,125.41390706553187,-7.676611687112006,-2.458500001985333,59.83244237121852,-4.961089550468075,-3.108658600675597,2.8820040140103806,0.15360109754716325,0.4533412127591133,0.8780025328245947,-0.08917249139864197,-0.21276263688981523,-0.9730263753472729,47.4,51.3,55.5,56.6,0.85,0.91,-0.634,-0.493,323.0,229.5,241.7,104.1,81.3,125.4,-7.952341015465876,-2.552164527061459,59.92904154226961,-4.793932576322808,-3.0101117724507627,2.8451366815533006,0.15360109754716325,0.4533412127591133,0.8780025328245947,-0.08917249139864197,-0.21276263688981523,-0.9730263753472729
19,60.645289344194836,58.96995792785147,75.22328226954868,95.77185087226349,3.742590753565616,5.596377746838127,71.48069151598305,90.17547312542536,-4.504527934459853,-7.465027298445881,56.08448233997406,-0.8010430320862444,-1.2240386811064203,1.0070526473852817,0.021901810996860206,-0.20461971885107277,0.9785964854486069,0.037236938587747355,-0.11933523300672039,-0.9921554881004508,57.9,52.6,64.3,66.6,0.9,0.79,-0.414,-1.496,215.9,170.6,144.4,80.4,71.5,90.2,-4.499021378344116,-7.549694594250144,56.06665558290509,-0.6177889818183101,-1.24008914211229,1.0158609495361024,0.021901810996860206,-0.20461971885107277,0.9785964854486069,0.037236938587747355,-0.11933523300672039,-0.9921554881004508
