NPC,r_CR,r_NR,SSE_CR,SSE_NR,SSE_l_CR,SSE_l_NR,SSE_a_CR,SSE_a_NR,Cx_CR,Cy_CR,Cz_CR,Cx_NR,Cy_NR,Cz_NR,Tx_CR,Ty_CR,Tz_CR,Tx_NR,Ty_NR,Tz_NR,el_minor_CR,el_minor_NR,el_major_CR,el_major_NR,el_q_CR,el_q_NR,el_rot_CR,el_rot_NR,el_ssum_CR,el_ssum_NR,el_ssumXY_CR,el_ssumXY_NR,el_ssumZ_CR,el_ssumZ_NR,el_Cx_CR,el_Cy_CR,el_Cz_CR,el_Cx_NR,el_Cy_NR,el_Cz_NR,el_ Tx_CR,el_ Ty_CR,el_ Tz_CR,el_ Tx_NR,el_ Ty_NR,el_ Tz_NR
10,54.852070640923245,57.206060393090496,86.31437490307388,95.36453438270743,5.649761840145501,6.770367583345781,80.66461306292838,88.59416679936166,-3.0738322183581457,1.2775068046045746,57.406520892840255,-8.897788100385048,0.002723275172792986,-2.9222810434995035,-0.08080157660309188,0.08747486270111227,0.9928843102868916,0.12070287894059889,0.024925382785512706,-0.9923757052187681,49.5,50.2,62.0,66.5,0.8,0.76,0.753,0.766,269.0,295.7,188.3,207.1,80.7,88.6,-3.5200144205248662,1.3145049005522171,57.366950694838856,-8.560942587415752,-0.20551718295162003,-2.886540799298728,-0.08080157660309188,0.08747486270111227,0.9928843102868916,0.12070287894059889,0.024925382785512706,-0.9923757052187681
11,57.98937117973693,57.2995423684319,153.04592099170193,201.18550218926407,6.097444648357456,5.46298727465834,146.94847634334448,195.72251491460574,-0.5519355070118386,11.502849402951552,58.80868207224414,-0.6285973539198466,7.642067286569358,1.549957166137051,0.044872597358344715,-0.005320082716524954,0.9989785516847722,0.022109954823702902,-0.2520515960837,-0.967461184135753,50.6,51.3,67.0,64.7,0.76,0.79,-0.509,0.718,223.5,304.3,76.6,108.6,146.9,195.7,-0.5299566800731319,11.320650600724472,58.806724512948165,-0.7594440887480128,7.707795666640359,1.52984270695267,0.044872597358344715,-0.005320082716524954,0.9989785516847722,0.022109954823702902,-0.2520515960837,-0.967461184135753
12,59.36477904967951,57.81694940237837,64.17872249937659,161.7440502979225,2.754076338931596,5.172426298026384,61.42464616044499,156.57162399989613,-7.063459827858491,2.348926827396739,55.63800640534648,-3.875394025289077,4.291638883957587,2.4412545161002743,0.024810695039395845,0.1051287402282019,0.9941490720157079,-0.08819198768038566,0.04735606527487768,0.9949771738038338,57.6,51.3,61.6,65.3,0.93,0.79,0.838,0.411,149.3,194.8,87.9,38.2,61.4,156.6,-6.848706522713221,2.3554706456545507,55.631954876152584,-3.7967593975711535,4.336151508190992,2.446105885063588,0.024810695039395845,0.1051287402282019,0.9941490720157079,-0.08819198768038566,0.04735606527487768,0.9949771738038338
13,57.14185603812312,55.998137597906435,143.8087549934557,174.10723202399723,3.8906333962026896,5.254480288468046,139.918121597253,168.85275173552918,2.135875273585469,1.5699060532365114,58.20795823083958,4.041462889363154,-3.9195052262199535,-0.03687621637324608,0.050878707120393545,-0.21107495692150646,0.9761448251782834,0.009621571169875508,-0.2078683428602626,0.9781094915216554,54.4,51.3,60.9,62.2,0.89,0.83,1.325,-0.2,302.6,347.6,162.7,178.8,139.9,168.9,2.0810191976157357,1.725735255564741,58.24451289718744,4.209263138882927,-3.9764884072094606,-0.05063694721467114,0.050878707120393545,-0.21107495692150646,0.9761448251782834,0.009621571169875508,-0.2078683428602626,0.9781094915216554
14,55.57789917770624,58.111202261359125,100.01251022488401,227.89883161128776,3.222703704788599,3.9377862719673753,96.78980652009541,223.96104533932038,-1.2422453800529145,-7.887856353751794,57.68639130022361,-2.1896572957998717,0.40861215899184966,-0.598611629670829,0.2899795887809433,0.001428550530524486,-0.9570317640150803,0.22536585441306412,0.05321256107407235,-0.9728199499437745,52.6,55.0,59.2,62.2,0.89,0.89,-0.125,0.623,175.9,381.1,79.1,157.1,96.8,224.0,-1.2205944120644694,-8.084912052075852,57.69265737727257,-2.2598786777149695,0.5965333236599885,-0.6046001327660674,0.2899795887809433,0.001428550530524486,-0.9570317640150803,0.22536585441306412,0.05321256107407235,-0.9728199499437745
15,58.3609534243447,57.418914437780295,108.74932472733317,212.7782895526356,6.376446508816326,4.002104187158019,102.37287821851685,208.7761853654776,-1.90842658378732,1.9291586742947202,56.49163996388704,6.474223283000571,-2.2047962207575114,0.10234425081524653,-0.1457909738582346,-0.11446350832757068,0.9826714085607722,0.05333263973917796,-0.1071657849559704,0.99280971191524,51.7,53.2,67.0,62.5,0.77,0.85,0.1,1.289,273.5,294.4,171.1,85.6,102.4,208.8,-2.0391612952014353,1.9467977434154327,56.47429855045983,6.41135311323625,-2.322612666998762,0.09300423357277156,-0.1457909738582346,-0.11446350832757068,0.9826714085607722,0.05333263973917796,-0.1071657849559704,0.99280971191524
16,57.06100747445687,59.12395416545199,315.42085803322567,109.48720548640271,3.499902557929162,3.749048153456252,311.9209554752965,105.73815733294646,3.6367742759997306,2.437407384697574,57.80279230118429,-6.123771563824482,-13.410384768142242,8.29330108685435,0.015555033217656554,-0.14557886944620052,-0.989224359643637,-0.06512254856148329,-0.11126032826202215,-0.9916552793304154,53.8,54.8,61.1,64.0,0.88,0.86,1.409,-1.503,404.1,161.9,92.2,56.1,311.9,105.7,3.530432707194461,2.554789755243363,57.78384559890241,-6.230012353428481,-13.3264397919483,8.290859639027113,0.015555033217656554,-0.14557886944620052,-0.989224359643637,-0.06512254856148329,-0.11126032826202215,-0.9916552793304154
17,58.67588597973368,58.19413640807174,133.54782073360647,133.67513904597246,3.848736580203733,5.021996965521873,129.69908415340274,128.65314208045058,0.21905323816460007,-6.353876956619981,56.86822356330772,-7.644186348043173,-0.318574713112109,0.7415653190674489,-0.06556077458440317,0.11486084058352752,-0.991215805027512,0.20758592307312554,-0.025184138671869527,-0.9778925522271018,55.4,52.2,62.8,65.3,0.88,0.8,1.546,1.372,239.3,193.0,109.6,64.4,129.7,128.7,0.24634072461471462,-6.075485883243913,56.89867832784808,-7.661997065811765,-0.260502752108731,0.7362889248504222,-0.06556077458440317,0.11486084058352752,-0.991215805027512,0.20758592307312554,-0.025184138671869527,-0.9778925522271018
18,56.18497565820644,59.08882401059322,86.37443192922143,128.88971296406922,4.972142604638309,3.4586257935596945,81.40228932458312,125.43108717050953,-7.702491400354432,-2.381849926761512,59.795647874153985,-4.946619428030022,-2.3957158175310043,2.7792873137089282,0.15133896580050676,0.4537215615107514,0.8781988738609716,-0.09814073835759649,-0.21279318919417423,-0.9721560852595625,52.9,56.7,61.1,62.3,0.87,0.91,-0.635,-0.539,320.6,246.4,239.2,121.0,81.4,125.4,-7.953222402875163,-2.451048150967648,59.87460732060753,-5.012164714705937,-2.5010103532958663,2.808951915245275,0.15133896580050676,0.4537215615107514,0.8781988738609716,-0.09814073835759649,-0.21279318919417423,-0.9721560852595625
19,57.71243235198585,56.044216679141854,75.53686074549678,96.39738630478575,3.7277378737075257,5.6674340910101355,71.80912287178926,90.72995221377562,-4.625357584896551,-7.492043449250562,56.08554838278731,-0.6751170564008474,-1.1046438869798747,1.0349486179787486,0.023615378449134864,-0.20335356318177916,0.9788205362792396,0.03608092377256268,-0.11885475147783069,-0.9922558717341318,55.0,49.6,61.3,63.9,0.9,0.78,-0.413,-1.511,214.4,170.2,142.6,79.5,71.8,90.7,-4.514495491492856,-7.582950714729705,56.06398736535513,-0.4768919457058344,-1.133888081529928,1.0456595211711242,0.023615378449134864,-0.20335356318177916,0.9788205362792396,0.03608092377256268,-0.11885475147783069,-0.9922558717341318
20,55.38463087027162,56.80572949705538,204.4400611236989,91.69688924537226,7.004345542856399,6.207417211576488,197.4357155808425,85.48947203379578,3.8631891487437398,1.9804870726704427,59.862699959945616,2.1183787244933647,0.28213618857173467,2.1013020887760763,-0.07145624412070219,0.05113839481545435,-0.9961319539859472,-0.10381831423040518,-0.03566423796808976,-0.993956648833596,46.9,49.2,65.9,66.0,0.71,0.75,0.559,-0.062,264.2,152.3,66.7,66.8,197.4,85.5,4.025909877768489,1.9748856201514386,59.85073983620952,2.221822489589315,0.45612978963366785,2.0842543568423046,-0.07145624412070219,0.05113839481545435,-0.9961319539859472,-0.10381831423040518,-0.03566423796808976,-0.993956648833596
21,58.00319511372757,57.17381261190709,217.23195422337398,98.24086816337297,4.858728661693103,5.353779979211625,212.37322556168087,92.88708818416134,-3.448880381661291,-1.3687411955473112,57.95727803030483,9.36455483057429,-5.3221541041798215,1.8559434934350856,-0.15113054641179782,0.0037021635666973918,0.988506880060122,-0.13132837933511823,0.17307758639594617,-0.9761132136532962,56.5,52.9,61.3,63.1,0.92,0.84,-1.318,-0.434,530.6,306.5,318.2,213.6,212.4,92.9,-3.2070167188549283,-1.149447716196739,57.993434710554986,9.196044735254747,-5.104954002978965,1.9171276124136598,-0.15113054641179782,0.0037021635666973918,0.988506880060122,-0.13132837933511823,0.17307758639594617,-0.9761132136532962
22,56.224095304083924,59.99485009540486,135.08086239144254,228.30590659548804,4.149218486283908,2.777407314033776,130.93164390515864,225.52849928145426,8.308664149603972,-8.460951492218994,57.048144196073984,9.469019097259585,5.438077533206828,3.8548169420156433,0.08296189304941849,-0.045653897259568255,0.9955064268836589,-0.07065038993626602,-0.22128667224550191,0.9726462517731538,52.8,57.1,60.7,63.3,0.87,0.9,-0.513,1.368,267.3,271.4,136.3,45.8,130.9,225.5,8.466435436542646,-8.34166349165262,57.04046665396605,9.10953018713296,5.243948569025681,3.7845383756574154,0.08296189304941849,-0.045653897259568255,0.9955064268836589,-0.07065038993626602,-0.22128667224550191,0.9726462517731538
23,59.14023332154712,60.62086216928673,372.35269275046664,242.67087768986806,2.7511483619590256,4.058807681054744,369.6015443885076,238.61207000881333,7.014709784605124,8.72875822197948,57.95598575777534,-0.7648416980714277,2.336287203856544,3.0149388693924,0.029705018887074976,-0.16951671568217397,0.9850795373761694,0.19242319422449736,0.18034265410821604,0.9645982798210071,57.5,58.0,61.4,64.2,0.94,0.9,-1.453,-0.444,459.7,412.1,90.1,173.5,369.6,238.6,7.062364950384521,8.644410369345378,57.940033778309015,-0.6833868658738699,2.5909652183110485,2.9510748657393546,0.029705018887074976,-0.16951671568217397,0.9850795373761694,0.19242319422449736,0.18034265410821604,0.9645982798210071
